,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
36,37,Kitty Wells,"Tonight they're singing in the villas tomorrow you'll be gone so far
Hold me close and say you love me while Amigo plays his blue guitar
Ay ay ay ay the moon is lonely tomorrow I'll wonder where you are
Manana morning my darling I'll be blue as Amigo's guitar

They've hushed their singing in the villas all is quiet beneath the stars
Amigo plays Hasta Luego upon his lonely blue guitar
Ay ay ay ay the moon is lonely...",Amigo's Guitar,Kitty Wells' Greatest Hits,1968,11,2:36,Track 'A6',Single,True
37,38,Faron Young,"Will I ever get used to being your old used to be
I watched you walk away from me so long ago
I didn't know I loved you and I let you go
And just to think that I'm the one who set you free
Will I ever get used to being your old used to be
I've gotten used to people's stares as I walk by
I keep my head bowed low so they can't see me cry
They say there goes a man who lives in a memory
Will I ever get used to being your old used to be

I've got no one to help me pass these lonely days
When night time comes I just can't keep the blues away
Or if I dream your lovely face is all I see
Will I ever get used to being your old used to be
I've gotten used to...",Your Old Used To Be,Faron Young Sings The Best Of Faron Young,1960,12,,Track 'B1',Single,True
38,39,Kitty Wells,"I'm taking your ring from my left hand
Since you've made it plain we must part
But I'm placing it on my right hand 
To show the world that I once possessed your heart

From left to right means goodbye
Oh what a small ring can do
I'm left with these heartaches but I'll always have
The right kind of love for you

I'll wear it my darling forever
Tho' you did me wrong I'm not ashamed
When asked who's the giver the tears may fall
But proudly I'll tell them your name

From left to right I've made the change
Tho' the diamond still shines just as bright
As the day that you gave it and my love's as strong
Though I'm changing from left to right",Left To Right,The Kitty Wells Story,1963,24,,Track 'D6',Single,True
39,40,Marion Worth,,I Think I Know,Greatest Hits,1963,12,,Track 'B4',Single,True
40,41,Ray Price,,,,,,,,,
41,42,Marion Worth,,That's My Kind Of Love,I Lost Johnny,1960,2,2:22,Track 'B',Single,True
42,43,The Browns,"I peeked in to say goodnight
When I heard my child in prayer
Send dear God, some scarlet ribbons
Scarlet ribbons for my hair

All the stores were closed and shuttered
All the streets were dark and bare
In our town no scarlet ribbons
Not one ribbon for her hair

Through the night my heart was aching
Just before the dawn was breaking
I peeked in and on her bed
In gay profusion laying there
I saw ribbonsm scarlet ribbons
Scarlet ribbons for her hair

If I live to be a hundred
I will never know from where
Came those lovely scarlet ribbons
Scarlet ribbons for her hair",Scarlet Ribbons (For Her Hair),Scarlet Ribbons (For Her Hair),1959,2,2:35,Track 'A',Single,True
43,44,Don Gibson,,"Far, Far Away","Far, Far Away / What's Happened To Me",1972,2,2:22,Track 'A',Single,True
44,45,Jimmy Newman,,A Lovely Work Of Art,Highlight On Golden Country,1977,16,,Track 'B4',Single,True
45,46,Bill Anderson,,The Tip Of My Fingers,The Tip Of My Fingers,1966,2,2:55,Track 'A',Single,True
46,47,Hank Snow,"(Dark old cave Miller's Cave)
Way down in the state of Georgia through the swamps and everglades
There's a hole in Tiger Mountain God help the man who gets lost in Miller's Cave
I had a girl in way cross Georgia but she had unfaithful ways
Made me feel I was unwanted like the birds and the bears in Miller's Cave
(Miller's Miller's Miller's Miller's Cave)

I couldn't stand the way she did me couldn't take her lowdown ways
Before I'll stay with the cheating woman I'll go live with the bears in Miller's Cave
I caught her out one Sunday morning with the man they call Big Dave
Meanest man in way cross Georgia I'd rather fight a mountain lion in Miller's Cave
(Miller's Miller's Miller's Miller's Cave)

I said you'll pay both you and Davy I must see you in your graves
They laughed at me and then I shot 'em
I took their cheatin' skin and bones in Miller's Cave
That woman made me feel unwanted but I showed her I was brave
Most wanted man in the state of Georgia
But they'll never find me 'cause I'm lost in Miller's Cave
(Dark old cave Miller's Cave)",Miller's Cave,Miller's Cave,1960,2,2:38,Track 'A',Single,True
47,48,Webb Pierce,"Is it wrong for loving you is it wrong for being true
Tell me darling tell me please dear is it wrong
Have I waited for so long has your love for me gone
Is it wrong is it wrong for loving you

Way down deep inside my heart you're the only love sweetheart
Yes the only true love I ever knew
But I ask myself inside no need telling myself lies
Is it wrong is it wrong for loving you
Is it wrong for loving you...
So is it wrong is it wrong for loving you",Is It Wrong (For Loving You),The Best Of Webb Pierce,1975,20,2:10,Track 'B2',Single,True
48,49,Ernest Ashworth,,You Can't Pick A Rose In December,You Can't Pick A Rose In December / You'll Hear My Heart Break,1960,2,2:09,Track 'A',Single,True
49,50,Gene Woods,,,,,,,,,
50,51,Lewis Pruitt,,Timbrook,Timbrook / (You'll Make) A Fool Of Me,1960,2,2:29,Track 'A',Single,True
51,52,Charlie Ryan,"Well you heard the story of the hot rod race that fatal day
When a Ford and a Mercury went out to play
Well this is the inside story, and I'm here to say
I was the kid that was drivin' that Model A

It's got a Lincoln motor and it's really souped up
And that Model A body makes it look like a pup
It's got twelve cylinders, uses them all
With an overdrive that just won't stall

Its got a 4-barrel carb and a dual exhaust
4:11 gears, you can really get lost
It's got safety tubes, and I'm not scared
The brakes are good, and the tires are fair

We left San Pedro late one night
The moon and the stars was shinin' bright
Everything went fine up the Grapevine Hill
We was passing cars like they was standing still

And all of a sudden like a flick of an eye
A Cadillac sedan had passed us by
The remark was made ""There's the car for me""
But by then the taillight were all you could see

Now the fellas ribbed me for bein' behind
So I started to make that Lincoln unwind
I took my foot off the gas and man alive
I shoved it down into overdrive

Well, I wound it up to a 110
Twisted the speedometer cable off the end
I had my foot feed clear to the floor
Said that's all there is, and there ain't no more

Went around a corner and I passed a truck
I whispered a prayer just for luck
Fenders was clickin' the guardrail posts
The guys beside me were white as a ghost

I guess they'd thought I'd lost my sense
The telephone poles looked like a picket fence
They said, ""Slow down! I see spots!
The lines on the road just look like dots""

Smoke was rollin' out in the back
When I started gainin' on that Cadillac
I knew I could catch him, and hoped I could pass
But when I did, I'd be short on gas

Went around a corner with the tires in the side
You could feel the tension, man what a ride
I said, ""Hold on, I've got a license to fly""
And a Cadillac pulled over and let me by

And all of a sudden a rod started knockin'
When down in the dips, and she started to rockin'
I look in my mirror, and a red light was blinkin'
Cops was after my Hot Rod Lincoln

Well they arrested me and put me in jail
And called my pop to throw my bail
He said, ""Son, you're gonna drive me to drinkin'
You don't quit drivin' that Hot Rod Lincoln!""",Hot Rod Lincoln,Hot Rod Lincoln Drags Again!,1964,12,,Track 'A1',Album,True
52,53,Ray Godfrey,,Redemption,Ray (Original Motion Picture Score),2004,26,1:40,Track '23',"{'name': 'CD', 'qty': '1'}",True
53,54,Johnny Cash,"Everybody's going out and having fun
I'm just a fool for staying home and having none
I can't get over how she set set me free oh lonesome me

A bad mistake I'm making by just hanging round
I know that I should have some fun and paint the town
I thought of everything from A to Z oh lonesome me

I'll bet she's not like me she's out and fancy free
Flirtin' with the boys with all her charms
But I still love her so and brother don't you know
I'd welcome her right back here in my arms

Well there must be some way I can lose these lonesome blues
Forget about the past and find somebody new
I thought of everything from A to Z oh lonesome me oh lonesome me

Well I'll bet she's not like me...
Oh lonesome me",Oh Lonesome Me,Oh Lonesome Me / Life Goes On,1960,2,2:25,Track 'A',Single,True
54,55,Lou Smith,,So Cruel,Achtung Baby,1991,12,5:49,Track '6',Album,True
